Rank,Univercity,Region,Course,Type
1,Massachusetts Institute of Technology,USA,0,Top25
2,Stanford University,USA,1,Top25
3,University of Oxford,USA,1,Top25
4,Harvard University,USA,0,Top25
5,"University of California, Berkeley",USA,1,Top25
6,London School of Economics and Political Science,UK,1,Top25
7,University of Michigan-Ann Arbor,USA,0,Top25
8,"University of California, Los Angeles",USA,2,Top25
9,University of Pennsylvania,USA,0,Top25
10,UCL,UK,0,Top25
11,Columbia University,USA,2,Top25
12,University of Amsterdam,Netherlands,1,Top25
13,National University of Singapore,Singapore,0,Top25
14,University of Washington,USA,1,Top25
15,Cornell University,USA,1,Top25
16,Tsinghua University,China,1,Top25
17,Peking University,China,1,Top25
18,Duke University,USA,0,Top25
19,New York University,USA,1,Top25
20,University of Toronto,Canada,0,Top25
21,Utrecht University,Netherlands,0,Top25
22,Northwestern University,USA,1,Top25
23,University of North Carolina at Chapel Hill,USA,0,Top25
24,University of Wisconsin-Madison,USA,1,Top25
25,University of Manchester,UK,0,Top25
26,University of British Columbia,Canada,0,Last25
27,Australian National University,Australia,0,Last25
28,University of Texas at Austin,USA,1,Last25
29,Free University of Berlin,Germany,0,Last25
30,University of Mannheim,Germany,0,Last25
31,University of Hong Kong,China ,0,Last25
32,University of Melbourne,Australia,0,Last25
33,University of Vienna,Austria,0,Last25
34,McGill University,Canada,0,Last25
35,University of Southern California,USA,1,Last25
36,King’s College London,UK,1,Last25
37,"University of California, San Diego",USA,1,Last25
38,Humboldt University of Berlin,Germany,0,Last25
39,Aarhus University,Denmark,0,Last25
40,University of Groningen,Netherlands,2,Last25
41,KU Leuven,Belgium,0,Last25
42,University of Illinois at Urbana-Champaign,USA,0,Last25
43,Arizona State University (Tempe),USA,0,Last25
44,Wageningen University & Research,Netherlands,0,Last25
45,Nanyang Technological University,singapore,1,Last25
46,The Ohio State University,USA,1,Last25
47,The Ohio State University,USA,1,Last25
48,The University of Tokyo,Japan,0,Last25
49,University of Zurich,Switzerland,0,Last25
50,Indiana University,USA,0,Last25
