Rank,Univercity,Region,Course,Type
1,University of Amsterdam,Netherlands,1,Top25
2,The Ohio State University - Columbus,USA,0,Top25
3,Michigan State University,USA,0,Top25
4,The University of Texas at Austin,USA,0,Top25
5,"University of California, Santa Barbara",USA,1,Top25
6,Nanyang Technological University,Singapore,1,Top25
7,University of Vienna,Austria,0,Top25
8,University of Michigan-Ann Arbor,USA,0,Top25
9,University of Oxford,USA,1,Top25
10,University of Wisconsin - Madison,USA,0,Top25
11,Northwestern University,USA,1,Top25
12,University of Pennsylvania ,USA,0,Top25
13,Indiana University Bloomington,India,0,Top25
14,University of Illinois at Urbana-Champaign,USA,0,Top25
15,University of Zurich,Switzerland,0,Top25
16,University of Munich,Germany,0,Top25
17,The Hebrew University of Jerusalem,Israel,0,Top25
18,University of Southern California,USA,1,Top25
19,KU Leuven,Belgium,0,Top25
20,Cornell University,USA,1,Top25
21,Pennsylvania State University - University Park,USA,0,Top25
22,"University of Minnesota, Twin Cities",USA,0,Top25
23,Vrije Universiteit Amsterdam,Netherlands,0,Top25
24,The University of Georgia,USA,1,Top25
25,"University of California, Davis",USA,1,Top25
26,University of Missouri - Columbia,USA,1,Last25
27,London School of Economics and Political Science,UK,1,Last25
28,"Rutgers, The State University of New Jersey - New Brunswick",USA,1,Last25
29,University of Washington,USA,1,Last25
30,University of Utah,USA,0,Last25
31,University of Oregon,USA,0,Last25
32,Stanford University,USA,2,Last25
33,Ghent University,Belgium,0,Last25
34,University of Mainz,Germany,2,Last25
35,University of Arizona,USA,0,Last25
36,University of Groningen,Netherlands,2,Last25
37,University of Kansas,USA,0,Last25
38,University of Mannheim,Germany,0,Last25
39,"University of Maryland, College Park",USA,2,Last25
40,University of Oslo,Norway,0,Last25
41,University of Helsinki,Finland,0,Last25
42,Boston University,USA,2,Last25
43,Temple University,USA,2,Last25
44,Radboud University Nijmegen,Netherlands,2,Last25
45,University of Antwerp,Belgium,1,Last25
46,University of Haifa,Israel,0,Last25
47,University of Iowa,USA,1,Last25
48,University of Connecticut,USA,1,Last25
49,"City, University of London",UK,2,Last25
50,The University of Alabama - Tuscaloosa,USA,0,Last25
